EcoID,Crop,CommonName,SearchScientName,ScientNameClean,Family,MonfredaFileName,MonfredaCropName,Search,GROUP,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,KTMP,GMIN,GMAX,Comment,Selected
2114,wheat,"wheat, common",Triticum,Triticum aestivum,Gramineae,wheat,Wheat,wheat,cereals,15,23,5,27,750,900,300,1600,0,90,250,,1
2131,vanilla,Vanilla,Vanilla,Vanilla planifolia,Orchidaceae,vanilla,Vanilla,vanilla,other,21,30,10,33,2000,2500,1500,3000,0,180,300,,0
2146,broadbean,Broad bean,Vicia,Vicia faba,Fabaceae,broadbean,"Broad Beans, Dry",fava bean,pulses,18,28,5,32,650,1000,250,2600,0,100,150,,0
2146,broadbean,Broad bean,Vicia,Vicia faba,Fabaceae,greenbroadbean,"Broad Beans, Green",broad bean,pulses,18,28,5,32,650,1000,250,2600,0,100,150,,0
2160,grape,European wine grape,Vitis,Vitis vinifera,Vitaceae,grape,Grapes,grape,fruit,18,30,10,38,700,850,400,1200,-3,160,270,,0
2168,taro,Tannia,Xanthosoma,Xanthosoma sagittifolium,Araceae,taro,Taro (Coco Yam),taro,roots and tubers,20,28,10,35,1000,2000,750,6000,0,120,365,,0
2177,ginger,Ginger,Zingiber,Zingiber officinale,Zingiberaceae,ginger,ginger,ginger,other,19,29,13,35,1400,3000,700,4000,0,270,365,,0
2214,akee,Akee,Blighia,Blighia sapida,Magnoliopsida,akee,akee,akee,fruit,24,27,20,34,2000,4000,700,6000,-1,150,365,,0
2234,chestnut,"Chestnut, European",Castanea,Castanea sativa,Fagaceae,chestnut,Chestnuts,chestnut,tree nuts,15,25,7,30,900,1300,500,1600,0,150,210,,0
2242,lime,Lime,Citrus,Citrus aurantifolia,Rutaceae,lemonlime,Lemons and Limes,lime,fruit,26,32,13,38,2200,2700,700,3700,0,180,365,,0
2246,hazelnut,Hazelnut,Corylus,Corylus avellana,Betulaceae,hazelnut,Hazelnuts (Filberts),hazelnut,tree nuts,10,24,5,35,900,1100,600,1400,-3,150,210,,0
2285,buckwheat,Common buckwheat,Fagopyrum,Fagopyrum esculentum,Polygonaceae,buckwheat,Buckwheat,buckwheat,cereals,17,27,7,40,700,1000,400,1300,0,55,85,,0
2315,walnut,English walnut,Juglans,Juglans regia,Juglandaceae,walnut,Walnuts,walnut,tree nuts,15,30,7,40,800,1700,400,2200,-2,150,180,,0
2386,pistachio,Pistachio nut,Pistacia,Pistacia vera,Anacardiaceae,pistachio,Pistachios,pistachio,tree nuts,25,35,12,40,400,700,250,1100,-1,150,180,,0
2397,almond,Almond,Prunus,Prunus amygdalus,Rosaceae,almond,Almonds,almond,tree nuts,12,35,10,40,600,900,250,1500,-1,150,240,,0
2398,apricot,Apricot,Prunus,Prunus armeniaca,Rosaceae,apricot,Apricots,apricot,fruit,14,35,7,40,900,1300,800,1470,-1,180,240,,0
2462,clove,Clove,Eugenia,Eugenia aromatica,Myrtaceae,clove,cloves,clove,other,24,34,20,38,1500,3600,1200,4000,0,300,365,,0
2479,chickpea,Chick pea,Cicer,Cicer arietinum,Fabaceae,chickpea,Chick-Peas,chickpea,pulses,15,29,7,35,600,1000,300,1800,0,90,180,,1
