"x","y","crop"
34.2074765,-13.4579195,"bean"
75.5406445,26.2085885,"bean"
10.0409065,5.7086705,"bean"
95.3738985,19.4586155,"bean"
-39.5422285,-6.95794550000001,"bean"
-63.8754645,-22.9578815,"bean"
84.9572735,19.4586155,"bean"
29.3741625,0.0420264999999915,"bean"
32.2074845,-3.4579595,"bean"
35.1241395,-17.5412365,"bean"
17.4575435,-11.8745925,"bean"
95.2072325,19.1252835,"bean"
-36.7922395,-9.37460250000001,"bean"
74.7906475,29.2085765,"bean"
96.3738945,24.8752605,"bean"
-90.1253595,14.5419685,"bean"
111.0405025,-6.5412805,"bean"
95.6238975,19.8752805,"bean"
-49.9588535,-23.6245455,"bean"
71.5406605,25.1252595,"bean"
73.6239855,27.2085845,"bean"
-40.8755565,-7.1246115,"bean"
72.4573235,23.5419325,"bean"
29.6241615,-2.62462950000001,"bean"
74.0406505,23.6252655,"bean"
79.2072965,26.2085885,"bean"
72.5406565,42.4585235,"bean"
36.8741325,-0.957969500000004,"bean"
30.9574895,-1.2913015,"bean"
95.2072325,22.0419385,"bean"
30.2074925,-4.79128750000001,"bean"
1.7076065,10.2919855,"bean"
86.8739325,25.5419245,"bean"
-2.6257095,9.79198749999999,"bean"
75.9573095,25.8752565,"bean"
74.7073145,15.8752965,"bean"
83.1239475,18.4586195,"bean"
-99.7086545,20.3752785,"bean"
-0.625717499999979,10.7919835,"bean"
72.3739905,25.8752565,"bean"
-37.6255695,-7.9579415,"bean"
96.4572275,17.5419565,"bean"
76.1239755,19.6252815,"bean"
-51.2921815,-24.5412085,"bean"
94.7905675,16.5419605,"bean"
14.5408885,-14.0412505,"bean"
75.0406465,26.3752545,"bean"
75.7906435,19.6252815,"bean"
125.4571115,38.5418725,"bean"
95.2072325,21.4586075,"bean"
-105.2919655,21.7919395,"bean"
95.6238975,21.3752745,"bean"
-90.8753565,15.2919655,"bean"
75.3739785,16.5419605,"bean"
82.9572815,20.7086105,"bean"
-50.8755165,-24.7912075,"bean"
73.8739845,28.6252455,"bean"
80.2072925,17.4586235,"bean"
-46.5422005,-16.6245735,"bean"
73.9573175,26.2085885,"bean"
-86.0420425,14.0419705,"bean"
72.2906575,27.0419185,"bean"
76.4573075,17.4586235,"bean"
76.2906415,25.6252575,"bean"
-37.8755685,-7.87460850000001,"bean"
34.2908095,-14.2079165,"bean"
95.2072325,16.4586275,"bean"
-103.9586375,23.8752645,"bean"
34.7074745,1.4586875,"bean"
28.7908315,-3.7079585,"bean"
-103.3753065,24.4585955,"bean"
77.1239715,17.1252915,"bean"
74.7073145,15.7086305,"bean"
80.1239595,25.5419245,"bean"
-53.2921735,-27.2078645,"bean"
71.8739925,24.8752605,"bean"
76.3739745,20.3752785,"bean"
73.7906515,26.2919215,"bean"
77.3739705,20.8752765,"bean"
76.3739745,19.2086165,"bean"
-41.4588875,-3.4579595,"bean"
-98.5419925,19.9586135,"bean"
75.1239795,27.9585815,"bean"
73.8739845,26.7919195,"bean"
75.1239795,16.2086285,"bean"
76.9573055,19.0419505,"bean"
125.6237775,39.7085345,"bean"
76.7073065,21.1252755,"bean"
-38.1255675,-7.7079425,"bean"
75.7073105,21.0419425,"bean"
96.9572255,24.2919295,"bean"
73.5406525,23.7085985,"bean"
72.5406565,32.9585615,"bean"
74.8739805,28.9585775,"bean"
83.3739465,18.3752865,"bean"
-90.3753585,15.1252995,"bean"
72.2073245,26.2085885,"bean"
30.7074905,-1.20796850000001,"bean"
31.4574875,-3.4579595,"bean"
95.4572315,22.5419365,"bean"
97.3738905,25.2919255,"bean"
78.0406345,17.5419565,"bean"
-50.8755165,-25.3745385,"bean"
78.0406345,12.3753105,"bean"
11.0409025,6.6253335,"bean"
85.2072725,19.8752805,"bean"
76.7906395,20.6252775,"bean"
95.3738985,20.6252775,"bean"
79.1239635,25.3752585,"bean"
32.5408165,2.5420165,"bean"
80.3739585,24.9585935,"bean"
-91.8753525,15.7919635,"bean"
35.3741385,-4.45795550000001,"bean"
37.3741305,-1.20796850000001,"bean"
95.5405645,16.8752925,"bean"
75.9573095,19.7086145,"bean"
36.2908015,0.37535849999999,"bean"
96.0405625,20.2086125,"bean"
37.2907975,5.54200449999999,"bean"
107.7905155,26.2919215,"bean"
125.3737785,38.9585375,"bean"
-37.1255715,-8.70793850000001,"bean"
-39.2088965,-10.7079305,"bean"
75.7906435,17.1252915,"bean"
30.0408265,-4.79128750000001,"bean"
96.7072265,25.5419245,"bean"
34.3741425,0.958689499999991,"bean"
75.5406445,15.5419645,"bean"
-39.8755605,-5.6246175,"bean"
96.8738925,17.1252915,"bean"
34.8741405,1.20868849999999,"bean"
68.9573375,23.7085985,"bean"
-89.4586955,14.0419705,"bean"
33.9574775,-13.3745865,"bean"
29.1241635,-1.12463550000001,"bean"
79.3739625,17.5419565,"bean"
71.7906595,25.5419245,"bean"
35.4574715,-0.207972500000011,"bean"
95.3738985,20.4586115,"bean"
-39.2922295,-4.1246235,"bean"
